time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_main_phase,count_schools,total_school_places,total_school_pupils_on_roll,SEND_unit_capacity,resourced_provision_capacity,primary_SEND_unit_capacity,primary_resourced_provision_capacity,secondary_SEND_unit_capacity,secondary_resourced_provision_capacity
202223,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Total,16,9390,9005,8,166,8,96,0,70
202223,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Primary,12,4725,4242,8,96,8,96,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Secondary,4,4665,4763,0,70,0,0,0,70
202223,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Total,11,4993,4506,0,114,0,87,0,27
202223,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Primary,9,2677,2469,0,87,0,87,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Secondary,2,2316,2037,0,27,0,0,0,27
202223,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Total,12,9328,8896,0,112,0,49,0,63
202223,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Primary,6,1253,1227,0,49,0,49,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Secondary,6,8075,7669,0,63,0,0,0,63
202223,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Total,8,5225,4137,0,78,0,33,0,45
202223,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Primary,4,1236,998,0,33,0,33,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Secondary,4,3989,3139,0,45,0,0,0,45
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Total,149,116116,104209,302,1868,144,1000,158,868
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary,86,30663,27752,144,994,144,994,0,0
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Secondary,63,85453,76457,158,874,0,6,158,868
