time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_main_phase,count_schools,school_places,pupils_on_roll,at_or_over_capacity_schools,percent_at_or_over_capacity_schools,pupils_over_capacity,percent_pupils_over_capacity,under_capacity_schools,percent_under_capacity_schools,unfilled_places,percent_unfilled_places
202223,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Secondary,10,9472,8268,1,10,8,0.084459,9,90,1212,12.795608
202223,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Total,73,33276,29331,8,10.95890411,117,0.351605,65,89.04109589,4062,12.206996
202223,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Primary,60,19813,16895,5,8.333333333,45,0.227124,55,91.66666667,2963,14.954828
202223,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Secondary,13,13463,12436,3,23.07692308,72,0.534799,10,76.92307692,1099,8.163114
202223,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Total,241,80295,66771,25,10.37344398,360,0.448347,216,89.62655602,13884,17.291239
202223,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Primary,211,46342,37851,20,9.478672986,172,0.371154,191,90.52132701,8663,18.693626
202223,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Secondary,30,33953,28920,5,16.66666667,188,0.553707,25,83.33333333,5221,15.377139
202223,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Total,37,16619,15109,5,13.51351351,111,0.66791,32,86.48648649,1621,9.753896
202223,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Primary,29,9320,8380,3,10.34482759,21,0.225322,26,89.65517241,961,10.311159
202223,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Secondary,8,7299,6729,2,25,90,1.233046,6,75,660,9.042335
202223,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Total,157,51457,41546,10,6.369426752,132,0.256525,147,93.63057325,10043,19.517267
202223,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Primary,127,25285,19580,7,5.511811024,44,0.174016,120,94.48818898,5749,22.7368
202223,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Secondary,30,26172,21966,3,10,88,0.336237,27,90,4294,16.406847
202223,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Total,56,20823,19204,8,14.28571429,133,0.638717,48,85.71428571,1752,8.413773
202223,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Primary,50,14373,13424,7,14,65,0.452237,43,86,1014,7.054895
202223,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Secondary,6,6450,5780,1,16.66666667,68,1.054264,5,83.33333333,738,11.44186
202223,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Total,150,75148,71243,53,35.33333333,1107,1.473093,97,64.66666667,5012,6.669506
202223,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Primary,118,39567,38423,44,37.28813559,745,1.882882,74,62.71186441,1889,4.774181
202223,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Secondary,32,35581,32820,9,28.125,362,1.017397,23,71.875,3123,8.777156
202223,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Total,63,27840,25724,9,14.28571429,124,0.445402,54,85.71428571,2240,8.045977
202223,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Primary,54,15890,14576,7,12.96296296,40,0.251731,47,87.03703704,1354,8.521082
202223,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Secondary,9,11950,11148,2,22.22222222,84,0.702929,7,77.77777778,886,7.414226
202223,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Total,92,42057,37699,23,25,336,0.798916,69,75,4694,11.161043
202223,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Primary,74,22726,20885,19,25.67567568,194,0.853648,55,74.32432432,2035,8.954501
202223,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Secondary,18,19331,16814,4,22.22222222,142,0.734571,14,77.77777778,2659,13.755108
202223,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Total,111,53203,47339,24,21.62162162,242,0.454862,87,78.37837838,6106,11.476796
202223,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Primary,91,27997,24876,22,24.17582418,219,0.782227,69,75.82417582,3340,11.92985
202223,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Secondary,20,25206,22463,2,10,23,0.091248,18,90,2766,10.973578
202223,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Total,117,52824,49823,41,35.04273504,241,0.456232,76,64.95726496,3242,6.137362
202223,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Primary,97,28885,28025,36,37.11340206,157,0.543535,61,62.88659794,1017,3.520859
202223,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Secondary,20,23939,21798,5,25,84,0.350892,15,75,2225,9.294457
202223,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Total,77,29659,27424,17,22.07792208,357,1.203682,60,77.92207792,2592,8.739337
202223,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Primary,64,17941,16110,11,17.1875,167,0.930829,53,82.8125,1998,11.136503
202223,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Secondary,13,11718,11314,6,46.15384615,190,1.621437,7,53.84615385,594,5.069124
202223,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Total,166,90734,84885,41,24.69879518,579,0.638129,125,75.30120482,6428,7.084445
202223,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Primary,135,52791,49422,26,19.25925926,181,0.342861,109,80.74074074,3550,6.724631
202223,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Secondary,31,37943,35463,15,48.38709677,398,1.048942,16,51.61290323,2878,7.585062
202223,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Total,100,46505,42476,18,18,179,0.384905,82,82,4208,9.048489
202223,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Primary,86,25935,24059,15,17.44186047,117,0.451128,71,82.55813953,1993,7.684596
202223,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Secondary,14,20570,18417,3,21.42857143,62,0.30141,11,78.57142857,2215,10.768109
202223,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Total,82,38404,35850,11,13.41463415,57,0.148422,71,86.58536585,2611,6.798771
202223,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Primary,69,22899,21613,10,14.49275362,53,0.231451,59,85.50724638,1339,5.847417
202223,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Secondary,13,15505,14237,1,7.692307692,4,0.025798,12,92.30769231,1272,8.203805
202223,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Total,91,37447,35194,21,23.07692308,335,0.894598,70,76.92307692,2588,6.911101
202223,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Primary,76,23795,22069,15,19.73684211,118,0.495903,61,80.26315789,1844,7.749527
202223,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Secondary,15,13652,13125,6,40,217,1.589511,9,60,744,5.449751
202223,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Total,100,44854,40831,16,16,86,0.191733,84,84,4109,9.160833
202223,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Primary,86,27579,24774,13,15.11627907,34,0.123282,73,84.88372093,2839,10.294064
202223,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Secondary,14,17275,16057,3,21.42857143,52,0.301013,11,78.57142857,1270,7.351664
202223,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Total,92,38226,35076,18,19.56521739,166,0.434259,74,80.43478261,3316,8.674724
202223,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Primary,76,22498,20290,12,15.78947368,56,0.248911,64,84.21052632,2264,10.063117
202223,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Secondary,16,15728,14786,6,37.5,110,0.69939,10,62.5,1052,6.688708
202223,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Total,82,43360,41260,39,47.56097561,678,1.563653,43,52.43902439,2778,6.406827
202223,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Primary,63,22054,21526,33,52.38095238,411,1.863608,30,47.61904762,939,4.257731
