time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,primary_planning_area_code,secondary_planning_area_code,school_laestab,school_urn,school_name,school_main_phase,school_phase,school_places,pupils_on_roll,primary_capacity,secondary_capacity,primary_pupils_on_roll,secondary_pupils_on_roll
202223,Academic year,School,E92000001,England,E12000002,North West,352,E08000003,Manchester,1352003,1352013,3527056,105623,Southern Cross School,Secondary,MS,240,134,5,235,9,125
202223,Academic year,School,E92000001,England,E12000002,North West,352,E08000003,Manchester,z,1352013,3527061,132905,North Ridge High School,Secondary,SS,200,197,0,200,0,197
202223,Academic year,School,E92000001,England,E12000002,North West,352,E08000003,Manchester,1352003,z,3527749,127802,Ashgate Specialist Support Primary School,Primary,PS,150,150,150,0,150,0
202223,Academic year,School,E92000001,England,E12000002,North West,353,E08000004,Oldham,1353003,1353013,3531101,140388,Hollinwood Academy,Secondary,AT,247,292,123,124,107,185
202223,Academic year,School,E92000001,England,E12000002,North West,353,E08000004,Oldham,1353003,z,3537002,143762,Halcyon Way School,Primary,PS,100,87,100,0,87,0
202223,Academic year,School,E92000001,England,E12000002,North West,353,E08000004,Oldham,z,1353013,3537003,145922,The Springboard Project,Secondary,SS,80,69,0,80,0,69
202223,Academic year,School,E92000001,England,E12000002,North West,353,E08000004,Oldham,1353003,1353013,3537012,143472,Spring Brook Academy,Secondary,AT,80,107,50,30,48,59
202223,Academic year,School,E92000001,England,E12000002,North West,353,E08000004,Oldham,1353003,z,3537013,143304,Kingfisher Special School,Primary,PS,202,198,202,0,198,0
202223,Academic year,School,E92000001,England,E12000002,North West,353,E08000004,Oldham,z,1353013,3537014,138697,New Bridge School,Secondary,SS,541,595,0,541,0,595
202223,Academic year,School,E92000001,England,E12000002,North West,354,E08000005,Rochdale,1354003,1354013,3547006,105861,Brownhill School,Secondary,AT,90,91,23,67,24,67
202223,Academic year,School,E92000001,England,E12000002,North West,354,E08000005,Rochdale,1354003,z,3547013,135200,Springside,Primary,PS,110,121,110,0,121,0
202223,Academic year,School,E92000001,England,E12000002,North West,354,E08000005,Rochdale,1354003,z,3547014,135201,Newlands School,Primary,PS,103,121,103,0,121,0
202223,Academic year,School,E92000001,England,E12000002,North West,354,E08000005,Rochdale,z,1354013,3547015,135202,Redwood,Secondary,SS,170,324,0,170,0,324
202223,Academic year,School,E92000001,England,E12000002,North West,355,E08000006,Salford,1355003,1355013,3557000,145850,New Park Academy,Secondary,AT,100,131,16,84,19,112
202223,Academic year,School,E92000001,England,E12000002,North West,355,E08000006,Salford,1355003,1355013,3557025,138130,Oakwood Academy,Secondary,MS,284,325,19,265,13,312
202223,Academic year,School,E92000001,England,E12000002,North West,355,E08000006,Salford,z,1355013,3557026,143062,Chatsworth High School and Community College,Secondary,SS,170,170,0,170,0,170
202223,Academic year,School,E92000001,England,E12000002,North West,355,E08000006,Salford,1355003,z,3557029,132153,Springwood Primary School,Primary,PS,307,309,307,0,309,0
202223,Academic year,School,E92000001,England,E12000002,North West,356,E08000007,Stockport,1356003,1356013,3567103,134064,Inscape House School,Secondary,AT,74,104,16,58,15,89
202223,Academic year,School,E92000001,England,E12000002,North West,356,E08000007,Stockport,1356003,1356013,3567502,106166,"Royal School, Manchester",Secondary,AT,39,56,10,29,6,50
202223,Academic year,School,E92000001,England,E12000002,North West,356,E08000007,Stockport,1356003,z,3567504,106168,Valley School,Primary,PS,54,54,54,0,54,0
202223,Academic year,School,E92000001,England,E12000002,North West,356,E08000007,Stockport,1356003,z,3567506,106170,Lisburne School,Primary,PS,170,171,170,0,171,0
202223,Academic year,School,E92000001,England,E12000002,North West,356,E08000007,Stockport,z,1356013,3567508,106172,Castle Hill High School,Secondary,SS,298,322,0,298,0,322
202223,Academic year,School,E92000001,England,E12000002,North West,356,E08000007,Stockport,z,1356013,3567509,106173,Heaton School,Secondary,SS,99,101,0,99,0,101
202223,Academic year,School,E92000001,England,E12000002,North West,356,E08000007,Stockport,1356003,z,3567510,131887,Oakgrove School,Primary,PS,39,39,39,0,39,0
202223,Academic year,School,E92000001,England,E12000002,North West,356,E08000007,Stockport,z,1356013,3567511,131889,Windlehurst School,Secondary,SS,47,46,0,47,0,46
202223,Academic year,School,E92000001,England,E12000002,North West,357,E08000008,Tameside,z,1357013,3577000,148936,Samuel Laycock School,Secondary,SS,140,214,0,140,0,214
202223,Academic year,School,E92000001,England,E12000002,North West,357,E08000008,Tameside,1357003,z,3577001,140133,Hawthorns School,Primary,PS,196,196,196,0,196,0
202223,Academic year,School,E92000001,England,E12000002,North West,357,E08000008,Tameside,1357003,1357013,3577002,106278,Thomas Ashton School,Secondary,AT,82,95,27,55,35,60
202223,Academic year,School,E92000001,England,E12000002,North West,357,E08000008,Tameside,z,1357013,3577005,106279,Cromwell High School,Secondary,SS,100,134,0,100,0,134
202223,Academic year,School,E92000001,England,E12000002,North West,357,E08000008,Tameside,1357003,z,3577009,106281,Oakdale School,Primary,PS,135,144,135,0,144,0
202223,Academic year,School,E92000001,England,E12000002,North West,358,E08000009,Trafford,1358003,z,3587000,142289,Pictor Academy,Primary,PS,114,116,114,0,116,0
202223,Academic year,School,E92000001,England,E12000002,North West,358,E08000009,Trafford,z,1358013,3587001,106391,Brentwood School,Secondary,SS,80,134,0,80,0,134
202223,Academic year,School,E92000001,England,E12000002,North West,358,E08000009,Trafford,1358003,z,3587002,142782,The Orchards,Primary,PS,108,117,108,0,117,0
202223,Academic year,School,E92000001,England,E12000002,North West,358,E08000009,Trafford,1358003,z,3587003,147372,Longford Park School,Primary,PS,73,78,73,0,78,0
202223,Academic year,School,E92000001,England,E12000002,North West,358,E08000009,Trafford,1358003,z,3587005,106394,Delamere School,Primary,PS,93,109,93,0,109,0
202223,Academic year,School,E92000001,England,E12000002,North West,358,E08000009,Trafford,z,1358013,3587008,142288,Manor Academy Sale,Secondary,SS,163,204,0,163,0,204
202223,Academic year,School,E92000001,England,E12000002,North West,358,E08000009,Trafford,z,1358013,3587009,131885,Egerton High School,Secondary,SS,55,66,0,55,0,66
202223,Academic year,School,E92000001,England,E12000002,North West,359,E08000010,Wigan,1359003,1359013,3597001,134297,"Landgate School, Bryn",Secondary,AT,108,116,65,43,63,53
202223,Academic year,School,E92000001,England,E12000002,North West,359,E08000010,Wigan,1359003,1359013,3597002,106543,Hope School,Secondary,AT,216,225,130,86,118,107
202223,Academic year,School,E92000001,England,E12000002,North West,359,E08000010,Wigan,1359003,z,3597018,132155,Willow Grove Primary School,Primary,PS,72,67,72,0,67,0
202223,Academic year,School,E92000001,England,E12000002,North West,359,E08000010,Wigan,1359003,z,3597020,131295,Rowan Tree Primary School,Primary,PS,116,117,116,0,117,0
202223,Academic year,School,E92000001,England,E12000002,North West,359,E08000010,Wigan,z,1359013,3597022,131530,Oakfield High School and College,Secondary,SS,305,324,0,305,0,324
202223,Academic year,School,E92000001,England,E12000002,North West,359,E08000010,Wigan,z,1359013,3597023,135199,Newbridge Learning Community,Secondary,SS,88,88,0,88,0,88
