time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,count_schools,count_schools_with_primary_and_secondary_capacity,school_places,pupils_on_roll,primary_capacity,secondary_capacity,primary_pupils_on_roll,secondary_pupils_on_roll
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Total,4,1,547,598,240,307,296,302
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Primary,2,0,200,260,200,0,260,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Secondary,2,1,347,338,40,307,36,302
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Total,7,7,898,885,312,586,304,581
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Secondary,7,7,898,885,312,586,304,581
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Total,10,9,2233,2217,725,1508,665,1552
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Secondary,10,9,2233,2217,725,1508,665,1552
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Total,4,1,561,670,192,369,210,460
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Primary,1,0,184,201,184,0,201,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Secondary,3,1,377,469,8,369,9,460
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Total,6,6,759,804,263,496,281,523
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Primary,1,1,65,64,64,1,64,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Secondary,5,5,694,740,199,495,217,523
