time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,count_schools,count_schools_with_primary_and_secondary_capacity,total_school_places,total_pupils_on_roll,SEND_unit_capacity,resourced_provision_capacity,primary_SEND_unit_capacity,primary_resourced_provision_capacity,secondary_SEND_unit_capacity,secondary_resourced_provision_capacity
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Total,11,0,9005,8218,0,196,0,93,0,103
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Primary,5,0,1470,1387,0,93,0,93,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Secondary,6,0,7535,6831,0,103,0,0,0,103
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Total,12,0,7917,7366,162,0,122,0,40,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Primary,9,0,4032,3719,122,0,122,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Secondary,3,0,3885,3647,40,0,0,0,40,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Total,14,0,12962,9618,18,155,0,50,18,105
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Primary,6,0,2299,1904,0,50,0,50,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Secondary,8,0,10663,7714,18,105,0,0,18,105
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Total,3,0,735,659,36,0,36,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Primary,3,0,735,659,36,0,36,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,Total,10,0,5974,4309,16,64,0,40,16,24
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,Primary,5,0,1452,1057,0,40,0,40,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,Secondary,5,0,4522,3252,16,24,0,0,16,24
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Total,5,0,5449,5017,40,30,26,10,14,20
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Primary,2,0,617,545,26,10,26,10,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Secondary,3,0,4832,4472,14,20,0,0,14,20
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Total,18,0,9927,8935,262,0,109,0,153,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Primary,11,0,3026,2424,109,0,109,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Secondary,7,0,6901,6511,153,0,0,0,153,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Total,25,0,16566,15037,490,0,293,0,197,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Primary,17,0,5933,5405,293,0,293,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Secondary,8,0,10633,9632,197,0,0,0,197,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Total,17,0,10828,10388,240,0,155,0,85,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Primary,13,0,5543,5303,155,0,155,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Secondary,4,0,5285,5085,85,0,0,0,85,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Total,3,0,2430,2239,60,15,30,0,30,15
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Primary,1,0,315,229,30,0,30,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Secondary,2,0,2115,2010,30,15,0,0,30,15
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Total,6,0,5740,5570,56,0,18,0,38,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Primary,2,0,840,827,18,0,18,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Secondary,4,0,4900,4743,38,0,0,0,38,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Total,11,0,8497,8058,275,42,133,42,142,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Primary,7,0,3177,3054,133,42,133,42,0,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Secondary,4,0,5320,5004,142,0,0,0,142,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Total,13,1,9876,9276,318,0,247,0,71,0
